place,country_code,place_id
"16 km W of Lincoln, Montana",US,365
"59 km NW of Tatitlek, Alaska",US,366
"7 km E of Avon, Utah",US,367
"14 km SE of Lincoln, Montana",US,368
"7 km NE of Lake McMurray, Washington",US,369
"2 km NE of Dustin, Oklahoma",US,371
"6 km NNW of Greenfield, Oklahoma",US,372
"4 km NW of Cobb, CA",US,373
"2 km N of The Geysers, CA",US,374
"9 km NE of Coalinga, CA",US,375
"17 km NW of Happy Valley, Alaska",US,376
"21 km SE of Chickaloon, Alaska",US,377
"24 km WNW of Boulder Creek, CA",US,378
"24 km NW of Susitna, Alaska",US,379
"1 km NE of Heber, CA",US,380
"86 km NNW of Karluk, Alaska",US,381
"81 km W of Karluk, Alaska",US,382
"1 km SW of P?hala, Hawaii",US,383
"4 km SSW of Redlands, CA",US,384
"4 km WNW of Cobb, CA",US,387
"1 km E of Aromas, CA",US,388
"23 km SSE of Minto, Alaska",US,389
"51 km S of Whites City, New Mexico",US,390
"4 km W of Cobb, CA",US,392
"2 km NNW of El Centro, CA",US,393
"61 km WNW of Beluga, Alaska",US,394
"23 km S of Funny River, Alaska",US,396
"3 km WNW of Point MacKenzie, Alaska",US,397
"30 km SE of Egegik, Alaska",US,398
"5 km SE of Loma Linda, CA",US,399
"83 km W of Adak, Alaska",US,400
"70 km WNW of Beluga, Alaska",US,401
"9 km NE of Borrego Springs, CA",US,402
"26 km S of Trona, CA",US,403
"11 km WSW of Mona, Utah",US,405
"2 km NNE of The Geysers, CA",US,406
"10 km SSE of Forsan, Texas",US,407
"3 km NNW of The Geysers, CA",US,408
"3 km WNW of Anderson Springs, CA",US,409
"42 km WNW of Indian Springs, Nevada",US,410
"10 km ENE of Ronan, Montana",US,411
"8 km NNW of Rancho Cucamonga, CA",US,412
"19 km NNW of Chickaloon, Alaska",US,415
"37 km NNW of Toyah, Texas",US,416
"34 km SSW of False Pass, Alaska",US,417
"6 km SSW of Thatcher, Utah",US,418
"5 km SSW of Idyllwild, CA",US,419
"2 km NW of Kenilworth, Utah",US,420
"16 km ESE of Dilley, Texas",US,421
"70 km WNW of Tyonek, Alaska",US,422
"29 km W of Hebgen Lake Estates, Montana",US,423
"13 km ESE of Borrego Springs, CA",US,424
"84 km SSW of Unalaska, Alaska",US,425
"10 km W of Forsan, Texas",US,426
"35 km SE of Egegik, Alaska",US,427
"20 km NW of Schurz, Nevada",US,428
"13 km NNE of Cabazon, CA",US,429
"5 km SE of Owasso, Oklahoma",US,430
"44 km WNW of Indian Springs, Nevada",US,431
"88 km NNW of Karluk, Alaska",US,432
